Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7;Boat 8;Boat 9
1;1;21;22;24;4;16;2;7;9;23;
2;1;1;12;18;17;5;27;25;14;10;
3;1;11;3;15;20;8;26;6;13;19;
4;2;11;9;10;20;1;18;4;7;5;
5;2;2;26;8;3;17;14;22;25;21;
6;2;16;19;23;12;27;15;13;6;24;
7;3;9;19;23;12;25;3;20;2;18;
8;3;14;10;13;24;26;1;21;15;7;
9;3;4;27;22;16;6;17;5;11;8;
10;4;4;1;20;26;6;17;24;12;2;
11;4;18;7;27;22;13;23;11;3;14;
12;4;15;25;19;8;10;5;9;21;16;
13;5;23;18;3;8;24;5;26;1;16;
14;5;22;11;12;15;21;10;2;27;20;
15;5;6;4;7;25;14;13;17;19;9;
16;6;24;4;2;25;11;13;15;5;3;
17;6;7;23;17;10;12;19;1;8;22;
18;6;26;6;9;14;18;21;16;20;27;
19;7;25;13;1;23;4;21;8;20;27;
20;7;5;14;6;9;22;24;3;10;12;
21;7;19;17;26;2;15;7;18;16;11;
22;8;19;5;1;2;20;22;14;16;13;
23;8;3;8;4;7;9;12;27;26;15;
24;8;17;24;11;21;23;25;10;18;6;
25;9;17;16;11;21;3;9;12;13;1;
26;9;20;15;25;5;7;6;23;22;26;
27;9;27;2;14;18;19;8;10;24;4;
28;10;27;21;5;17;19;7;3;24;20;
29;10;8;9;15;6;2;14;11;23;1;
30;10;12;10;16;13;18;4;22;26;25;
31;11;20;10;16;14;3;4;15;17;23;
32;11;13;21;6;18;5;12;2;8;7;
33;11;19;22;27;9;25;1;26;11;24;
34;12;19;12;23;4;14;5;26;11;21;
35;12;9;8;24;15;13;20;18;17;22;
36;12;3;16;2;27;6;7;1;25;10;
