Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;7;12;1;14;13;5;
2;1;4;16;2;15;17;6;
3;1;11;18;9;8;10;3;
4;2;1;15;9;16;5;3;
5;2;2;6;13;18;7;11;
6;2;17;8;4;10;14;12;
7;3;18;1;4;10;16;7;
8;3;9;14;5;11;2;17;
9;3;15;3;8;12;6;13;
10;4;15;5;8;7;11;4;
11;4;3;2;16;13;14;10;
12;4;12;9;6;17;18;1;
13;5;13;11;10;17;15;1;
14;5;5;4;18;3;12;2;
15;5;8;7;14;6;9;16;
16;6;8;2;11;12;1;16;
17;6;10;17;7;5;3;6;
18;6;14;13;15;4;18;9;
19;7;12;10;15;2;7;9;
20;7;13;16;17;5;8;18;
21;7;6;11;3;1;4;14;
22;8;17;7;3;1;2;8;
23;8;11;12;18;14;16;15;
24;8;5;10;6;9;13;4;
25;9;2;1;14;18;15;8;
26;9;3;4;7;13;9;17;
27;9;16;6;12;11;10;5;
28;10;16;13;12;11;4;7;
29;10;14;15;17;6;3;18;
30;10;9;8;1;2;5;10;
31;11;9;3;13;2;12;15;
32;11;18;17;10;16;1;4;
33;11;7;5;11;8;6;14;
34;12;7;5;18;15;10;14;
35;12;1;6;2;4;8;13;
36;12;12;9;16;3;17;11;
37;13;6;9;16;7;18;2;
38;13;4;15;5;17;8;12;
39;13;10;14;1;13;11;3;
40;14;2;18;5;13;11;17;
41;14;6;1;14;9;4;12;
42;14;3;10;15;7;16;8;
43;15;11;17;15;7;1;9;
44;15;16;4;2;3;14;5;
45;15;18;8;6;12;13;10;
46;16;14;7;17;12;2;10;
47;16;5;16;13;15;6;1;
48;16;4;3;8;18;9;11;
