Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;17;12;5;2;11;7;
2;1;8;15;14;4;16;3;
3;1;1;18;9;6;10;13;
4;2;5;18;2;3;14;13;
5;2;15;10;16;1;7;12;
6;2;6;9;8;17;4;11;
7;3;6;2;13;12;4;16;
8;3;14;11;1;5;9;15;
9;3;18;7;3;10;17;8;
10;4;9;14;16;10;17;2;
11;4;13;1;11;7;3;4;
12;4;12;8;15;18;5;6;
13;5;10;3;15;11;2;6;
14;5;4;17;18;14;12;1;
15;5;16;5;7;8;13;9;
16;6;2;5;4;8;1;10;
17;6;11;6;7;16;18;14;
18;6;3;13;12;15;9;17;
19;7;3;16;6;1;5;17;
20;7;11;14;10;13;12;8;
21;7;7;2;4;9;15;18;
22;8;7;2;6;14;8;1;
23;8;12;9;18;11;3;16;
24;8;10;4;17;13;15;5;
25;9;1;3;12;9;8;2;
26;9;4;16;10;5;18;11;
27;9;15;13;14;17;6;7;
28;10;15;1;11;17;2;18;
29;10;14;4;5;12;7;3;
30;10;8;10;9;16;6;13;
31;11;5;7;1;15;11;13;
32;11;2;8;17;18;16;12;
33;11;10;6;3;4;14;9;
34;12;16;17;8;4;1;15;
35;12;9;12;7;6;10;5;
36;12;18;11;13;2;3;14;
37;13;17;11;5;8;9;14;
38;13;13;6;18;12;1;4;
39;13;3;15;2;7;16;10;
40;14;11;12;17;7;4;10;
41;14;5;8;15;3;6;18;
42;14;14;1;9;16;13;2;
43;15;6;1;3;16;11;17;
44;15;9;5;2;18;7;4;
45;15;13;10;14;15;12;8;
46;16;18;10;14;1;5;16;
47;16;12;15;6;9;2;11;
48;16;4;3;8;13;17;7;
