Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6;Boat 7
1;1;19;17;22;26;23;15;8;
2;1;12;16;27;1;18;20;10;
3;1;9;14;24;25;13;2;21;
4;1;28;5;11;6;7;4;3;
5;2;23;20;1;6;24;4;26;
6;2;11;13;8;12;2;10;7;
7;2;27;9;14;15;22;3;5;
8;2;16;18;28;19;21;25;17;
9;3;15;6;28;13;9;8;20;
10;3;2;12;3;17;4;16;14;
11;3;1;26;21;5;10;19;11;
12;3;22;25;7;24;27;23;18;
13;4;10;19;15;24;3;28;2;
14;4;4;8;18;21;5;12;23;
15;4;17;1;13;7;14;6;27;
16;4;25;11;20;16;26;22;9;
17;5;5;24;12;28;1;22;13;
18;5;21;2;23;11;16;27;15;
19;5;26;3;9;10;17;18;6;
20;5;14;7;25;8;19;20;4;
21;6;14;15;6;12;18;11;24;
22;6;2;28;26;27;8;5;25;
23;6;7;23;16;9;3;19;1;
24;6;13;21;10;4;20;17;22;
25;7;1;21;15;3;25;7;12;
26;7;24;27;4;8;11;9;17;
27;7;20;22;18;2;6;5;19;
28;7;13;10;14;23;16;26;28;
29;8;15;4;2;18;9;1;28;
30;8;5;25;17;14;23;11;10;
31;8;6;16;8;22;7;21;24;
32;8;3;27;19;20;26;13;12;
33;9;3;8;1;18;11;13;22;
34;9;23;9;21;28;12;14;20;
35;9;4;19;25;10;6;2;27;
36;9;24;7;5;26;17;15;16;
37;10;9;6;5;25;12;10;16;
38;10;8;20;3;17;2;24;23;
39;10;11;14;22;1;28;27;19;
40;10;18;4;13;21;15;26;7;
41;11;8;1;10;20;15;25;14;
42;11;17;12;2;7;22;9;26;
43;11;21;23;6;27;28;3;11;
44;11;18;13;19;16;5;24;4;
45;12;6;2;26;16;14;8;1;
46;12;22;15;4;13;25;23;3;
47;12;28;18;11;17;20;7;5;
48;12;19;10;24;9;27;12;21;
49;13;7;10;16;22;4;28;8;
50;13;26;24;20;3;21;14;18;
51;13;25;17;12;11;19;6;15;
52;13;9;5;27;23;13;1;2;
53;14;9;19;7;23;14;18;6;
54;14;10;3;17;5;1;21;8;
55;14;27;26;28;4;12;22;25;
56;14;20;11;15;2;24;16;13;
57;15;4;11;1;25;24;26;9;
58;15;2;22;7;14;10;18;3;
59;15;12;28;23;19;8;17;13;
60;15;16;5;6;15;27;21;20;
61;16;16;8;9;13;18;3;25;
62;16;6;21;17;1;22;2;28;
63;16;19;4;12;5;26;11;14;
64;16;27;23;20;15;10;24;7;
65;17;22;9;8;15;21;19;11;
66;17;5;7;23;2;20;25;12;
67;17;3;28;24;10;6;13;26;
68;17;17;14;16;18;1;4;27;
69;18;28;14;21;3;25;5;24;
70;18;10;6;4;22;11;16;23;
71;18;7;13;9;19;17;20;1;
72;18;18;26;27;12;8;15;2;
