Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;10;3;8;5;15;14;
2;1;18;17;4;11;2;12;
3;1;1;9;16;7;6;13;
4;2;1;12;3;7;5;17;
5;2;13;15;2;16;4;10;
6;2;6;18;11;14;9;8;
7;3;7;18;13;14;3;4;
8;3;12;1;10;6;8;2;
9;3;9;5;17;15;11;16;
10;4;3;4;1;8;11;16;
11;4;15;2;7;17;14;6;
12;4;5;10;9;13;12;18;
13;5;11;6;15;13;12;3;
14;5;16;8;18;2;7;5;
15;5;4;17;14;10;1;9;
16;6;4;6;5;18;1;15;
17;6;17;14;13;12;16;8;
18;6;2;7;9;3;10;11;
19;7;18;16;6;3;10;17;
20;7;8;7;12;4;9;15;
21;7;14;11;5;2;13;1;
22;8;14;11;12;16;7;10;
23;8;8;13;17;15;18;1;
24;8;3;4;6;9;5;2;
25;9;10;15;11;1;18;7;
26;9;2;13;3;8;17;9;
27;9;6;14;16;12;4;5;
28;10;15;14;2;10;4;13;
29;10;7;5;8;11;17;6;
30;10;9;1;3;18;16;12;
31;11;11;8;10;6;13;4;
32;11;12;9;7;1;2;14;
33;11;5;16;18;17;15;3;
34;12;8;12;14;9;15;3;
35;12;13;10;4;5;17;7;
36;12;16;2;1;18;6;11;
37;13;17;3;1;4;14;11;
38;13;5;12;10;2;8;18;
39;13;7;9;15;16;6;13;
40;14;7;8;2;16;3;4;
41;14;15;17;6;10;12;1;
42;14;9;11;13;5;18;14;
43;15;17;11;13;12;16;2;
44;15;6;7;18;3;14;10;
45;15;4;5;15;1;9;8;
46;16;14;10;16;17;9;8;
47;16;12;18;4;15;11;7;
48;16;2;3;5;13;1;6;
