Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;7;5;1;13;12;14;
2;1;15;16;4;2;6;17;
3;1;9;11;3;8;10;18;
4;2;9;15;14;8;16;12;
5;2;4;18;6;1;11;7;
6;2;5;2;17;3;13;10;
7;3;11;2;9;16;13;1;
8;3;17;4;7;3;14;8;
9;3;12;10;5;18;15;6;
10;4;12;3;2;9;7;6;
11;4;8;1;16;17;18;5;
12;4;14;13;11;10;4;15;
13;5;14;6;11;5;3;16;
14;5;10;12;8;4;1;2;
15;5;18;17;15;7;9;13;
16;6;3;5;15;1;9;4;
17;6;6;8;13;14;2;18;
18;6;16;7;10;11;17;12;
19;7;2;7;5;11;8;15;
20;7;1;14;17;6;10;9;
21;7;13;16;18;12;4;3;
22;8;2;1;18;15;14;3;
23;8;7;6;13;10;16;8;
24;8;17;9;12;4;5;11;
25;9;3;15;8;13;6;1;
26;9;16;4;10;9;5;7;
27;9;11;12;14;18;17;2;
28;10;15;12;1;7;3;16;
29;10;5;18;4;14;2;10;
30;10;8;17;9;6;11;13;
31;11;10;17;7;14;1;13;
32;11;6;11;16;15;18;5;
33;11;4;3;12;2;8;9;
34;12;1;3;10;17;15;11;
35;12;18;9;2;16;7;14;
36;12;13;8;6;5;12;4;
37;13;1;10;6;18;12;9;
38;13;16;13;3;5;2;17;
39;13;7;14;4;15;11;8;
40;14;17;14;4;6;1;16;
41;14;2;5;8;10;9;15;
42;14;13;7;18;11;3;12;
43;15;10;16;14;8;3;12;
44;15;6;2;7;1;5;11;
45;15;18;15;13;9;4;17;
46;16;11;10;13;16;4;2;
47;16;8;18;17;12;15;1;
48;16;5;6;9;3;14;7;
