Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;13;5;1;12;14;7;
2;1;16;2;17;4;15;6;
3;1;18;8;11;10;9;3;
4;2;18;1;11;6;7;4;
5;2;8;9;14;2;17;12;
6;2;3;13;10;15;5;16;
7;3;1;13;2;9;11;16;
8;3;7;14;4;8;3;15;
9;3;10;6;12;17;18;5;
10;4;4;3;12;13;18;2;
11;4;5;17;8;7;16;11;
12;4;15;10;9;14;6;1;
13;5;4;10;16;8;12;1;
14;5;2;11;5;3;6;14;
15;5;9;18;7;15;13;17;
16;6;14;18;3;16;1;17;
17;6;6;4;13;5;8;9;
18;6;11;12;15;7;2;10;
19;7;1;8;15;5;2;18;
20;7;12;7;6;9;16;3;
21;7;17;4;14;11;10;13;
22;8;17;1;8;6;3;13;
23;8;2;9;7;10;4;5;
24;8;14;16;18;12;15;11;
25;9;10;3;17;1;7;2;
26;9;15;5;9;11;4;12;
27;9;6;14;18;16;13;8;
28;10;12;15;1;3;11;8;
29;10;7;6;13;18;10;2;
30;10;9;17;16;14;5;4;
31;11;9;12;2;14;8;6;
32;11;11;16;4;18;1;7;
33;11;5;15;3;13;17;10;
34;12;5;4;3;1;9;18;
35;12;16;7;10;2;8;14;
36;12;13;11;6;17;12;15;
37;13;10;11;6;5;14;1;
38;13;3;12;7;13;16;9;
39;13;8;2;17;4;18;15;
40;14;14;2;13;4;3;11;
41;14;6;16;9;15;10;18;
42;14;1;8;5;17;12;7;
43;15;15;6;4;3;14;7;
44;15;17;9;18;8;11;10;
45;15;2;13;1;16;5;12;
46;16;8;13;1;7;15;9;
47;16;18;5;10;12;4;14;
48;16;11;3;16;6;2;17;
