Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;10;1;13;18;6;9;
2;1;2;17;5;11;12;7;
3;1;3;4;14;15;16;8;
4;2;3;4;1;10;11;2;
5;2;14;13;18;16;7;5;
6;2;6;12;17;9;8;15;
7;3;6;5;11;4;13;15;
8;3;8;16;12;2;18;10;
9;3;17;9;7;3;14;1;
10;4;18;11;15;12;14;1;
11;4;5;16;3;6;10;17;
12;4;13;7;9;8;2;4;
13;5;16;7;6;1;12;4;
14;5;9;18;2;5;15;3;
15;5;11;10;8;13;17;14;
16;6;1;3;8;13;5;12;
17;6;2;6;16;14;9;11;
18;6;7;15;10;17;4;18;
19;7;16;15;1;17;13;2;
20;7;12;14;4;5;10;9;
21;7;8;18;11;7;3;6;
22;8;15;12;10;7;3;13;
23;8;4;17;9;11;16;18;
24;8;5;2;6;14;1;8;
25;9;12;3;13;9;11;16;
26;9;14;6;2;10;15;7;
27;9;18;8;5;1;4;17;
28;10;9;8;5;16;7;10;
29;10;17;14;12;18;2;3;
30;10;15;13;4;6;1;11;
31;11;7;9;18;12;1;5;
32;11;4;13;3;2;17;6;
33;11;10;11;14;15;8;16;
34;12;13;6;14;4;18;12;
35;12;1;10;16;3;9;15;
36;12;11;2;7;8;5;17;
37;13;12;2;15;8;4;9;
38;13;14;1;17;7;16;13;
39;13;3;5;11;10;6;18;
40;14;16;5;15;13;2;18;
41;14;10;1;12;17;6;8;
42;14;11;9;7;4;3;14;
43;15;11;10;7;12;13;2;
44;15;5;15;17;6;9;14;
45;15;4;3;16;18;8;1;
46;16;7;3;16;15;12;6;
47;16;18;11;8;9;17;13;
48;16;2;14;10;1;5;4;
