Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;16;15;17;4;2;6;
2;1;12;5;14;1;13;7;
3;1;8;3;11;18;9;10;
4;2;1;16;11;18;7;15;
5;2;2;13;9;6;14;8;
6;2;3;4;10;12;17;5;
7;3;3;6;8;12;15;1;
8;3;10;17;13;7;11;2;
9;3;9;18;5;14;16;4;
10;4;13;18;1;10;6;4;
11;4;15;7;3;2;5;9;
12;4;14;12;16;17;8;11;
13;5;14;2;4;3;1;11;
14;5;5;8;18;13;15;17;
15;5;7;10;6;9;12;16;
16;6;17;1;2;9;12;18;
17;6;6;11;15;5;10;14;
18;6;13;16;7;8;4;3;
19;7;2;16;1;8;5;10;
20;7;18;14;6;7;3;17;
21;7;4;9;12;11;13;15;
22;8;17;9;5;11;1;6;
23;8;8;12;4;2;18;7;
24;8;16;3;14;15;10;13;
25;9;11;6;2;5;18;12;
26;9;1;17;13;16;3;9;
27;9;10;15;7;4;14;8;
28;10;6;11;18;13;16;3;
29;10;7;1;8;17;4;5;
30;10;12;14;15;10;9;2;
31;11;5;4;15;3;11;2;
32;11;9;13;10;6;8;1;
33;11;18;17;12;16;7;14;
34;12;4;8;9;6;7;11;
35;12;15;10;14;1;17;18;
36;12;12;5;16;3;2;13;
37;13;9;5;16;15;18;8;
38;13;3;10;17;4;6;12;
39;13;11;7;1;14;2;13;
40;14;4;6;1;14;5;16;
41;14;7;2;3;9;10;18;
42;14;11;13;8;12;17;15;
43;15;5;13;4;18;9;14;
44;15;8;11;2;10;16;17;
45;15;6;12;3;1;15;7;
46;16;17;14;3;1;8;9;
47;16;2;18;13;15;4;6;
48;16;10;7;12;5;11;16;
