Race;Flight;Boat 1;Boat 2;Boat 3;Boat 4;Boat 5;Boat 6
1;1;8;10;18;13;1;4;
2;2;14;2;11;3;6;15;
3;3;9;7;12;5;16;17;
4;1;15;14;12;8;16;1;
5;2;10;5;7;11;4;6;
6;3;18;3;17;9;2;13;
7;1;18;6;17;15;7;8;
8;2;5;13;10;12;14;2;
9;3;16;4;3;1;11;9;
10;1;16;17;8;2;11;10;
11;2;1;9;6;14;5;18;
12;3;7;12;13;4;15;3;
13;1;7;18;14;16;10;3;
14;2;4;8;2;6;9;12;
15;3;13;1;5;17;15;11;
16;1;13;6;4;17;14;16;
17;2;2;11;1;18;12;7;
18;3;3;15;9;10;8;5;
19;1;2;15;16;4;18;5;
20;2;12;1;6;10;3;17;
21;3;11;7;9;8;13;14;
22;1;5;16;3;8;13;6;
23;2;17;4;7;1;2;14;
24;3;9;12;15;11;18;10;
25;1;3;8;2;5;7;1;
26;2;11;14;4;12;17;18;
27;3;15;10;13;16;6;9;
28;1;14;5;11;18;3;8;
29;2;6;16;1;7;12;13;
30;3;10;2;15;9;17;4;
31;1;6;2;8;9;1;11;
32;2;4;3;18;7;10;16;
33;3;17;13;14;15;5;12;
34;1;11;13;16;6;18;2;
35;2;12;17;5;3;8;4;
36;3;1;9;10;14;7;15;
37;1;8;16;10;14;2;12;
38;2;6;11;17;15;3;7;
39;3;9;18;5;13;4;1;
40;1;14;6;15;2;4;3;
41;2;16;5;11;12;9;7;
42;3;18;10;13;1;8;17;
43;1;18;10;12;6;5;2;
44;2;17;1;9;3;14;16;
45;3;7;4;8;11;13;15;
46;1;1;17;8;18;16;15;
47;2;2;3;7;13;12;9;
48;3;5;11;6;4;10;14;
